The Warrior Who Carried Life,Geoff Ryman
Rinkitink In Oz,L Frank Baum
The Lost Princess Of Oz,L Frank Baum
The Tin Woodman Of Oz,L Frank Baum
The Magic Of Oz,L Frank Baum
Glinda Of Oz,L Frank Baum
Tik-Tok Of Oz,L Frank Baum
The Master Key,L Frank Baum
The Wizard Of Linn,AE Van Vogt
The Witling,Vernor Vinge
With A Tangled Skein,Piers Anthony
The Witching Hour,Anne Rice
The Witches Of Wenshar,Barbara Hambly
The Dark Hand Of Magic,Barbara Hambly
The Witches Of Karres,James H Schmitz
Witches Abroad,Terry Pratchett
The Wishsong Of Shannara,Terry Brooks
Waking The Moon,Elizabeth Hand
Winterlong,Elizabeth Hand
Winter Of The Wolf,RA Macavoy
Winterking,Paul Hazel
Wings Of Flame,Nancy Springer
Windhaven,George RR Martin
The Wind In The Willows,Kenneth Grahame
Freedom Beach,James Patrick Kelly
Planet Of Whispers,James Patrick Kelly
Look Into The Sun,James Patrick Kelly
Wildlife,James Patrick Kelly
Wilding,Melanie Tem
The Wild Shore,Kim Stanley Robinson
Wild Seed,Octavia E Butler
Wild Blood,Nancy A Collins
Wielding A Red Sword,Piers Anthony
Whores Of Babylon,Ian Watson
The Whole Man,John Brunner
Who?,Algis Budrys
Who's Afraid Of Beowulf?,Tom Holt
Who Made Stevie Crye?,Michael Bishop
The White Raven,Diana L Paxson
The Santaroga Barrier,Frank Herbert
The Heaven Makers,Frank Herbert
The God Makers,Frank Herbert
Man Of Two Worlds,Brian Herbert
The Eyes Of Heisenberg,Frank Herbert
The Green Brain,Frank Herbert
The White Plague,Frank Herbert
The White Mists Of Power,Kristine Kathryn Rusch
White Jenna,Jane Yolen
The White Hotel,DM Thomas
The White Dragon,Anne Mccaffrey
Where Late The Sweet Birds Sang,Kate Wilhelm
When Worlds Collide,Edwin Balmer
When Harlie Was One,David Gerrold
When Gravity Fails,George Alec Effinger
What Mad Universe,Fredric Brown
What Entropy Means To Me,George Alec Effinger
Wetware,Rudy Rucker
The Werewolves Of London,Brian Stableford
The Well At The World's End,William Morris
The Wood Beyond The World,William Morris
"Welcome, Chaos",Kate Wilhelm
Web Of Angels,John M Ford
The Web Between The Worlds,Charles Sheffield
Weaveworld,Clive Barker
The Weapon Shops Of Isher,AE Van Vogt
The Weapon Makers,AE Van Vogt
We Have Fed Our Sea,Poul Anderson
Way Of The Pilgrim,Gordon R Dickson
Wave Without A Shore,CJ Cherryh
Watership Down,Richard Adams
Watchtower,Elizabeth A Lynn
Watchmen,Dave Gibbons
Was,Geoff Ryman
Wasp,Eric Frank Russell
The Wasp Factory,Iain M Banks
The Warriors Of Dawn,MA Foster
The Warrior's Tale,Chris Bunch
The Warrior's Apprentice,Lois Mcmaster Bujold
Krakatit,Karel Čapek?Karel Capekkarel Chapek
The Absolute At Large,Karel Čapek?Karel Capekkarel Chapek
The Makropoulos Secret,Karel Capek
War With The Newts,Karel Čapek?Karel Capekkarel Chapek
The War Of The Worlds,HG Wells
War In Heaven,Charles Williams
War For The Oaks,Emma Bull
The War Hound And The World's Pain,Michael Moorcock
The War Against The Rull,AE Van Vogt
The Wandering Unicorn,Manuel Mujica Láinez
The Wanderer,Fritz Leiber
Walking On Glass,Iain M Banks
Walkabout Woman,Michaela Roessner
Walk To The End Of The World,Suzy Mckee Charnas
Motherlines,Suzy Mckee Charnas
Vurt,Jeff Noon
Voyager In Night,CJ Cherryh
Voyage To The Red Planet,Terry Bisson
A Voyage To Arcturus,David Lindsay
The Haunted Woman,David Lindsay
Sphinx,David Lindsay
Adventures Of Monsieur De Mailly,David Lindsay
Devil's Tor,David Lindsay
Voyage Of The Dawn Treader,CS Lewis
The Vor Game,Lois Mcmaster Bujold
The Void Captain's Tale,Norman Spinrad
The Voices Of Heaven,Frederik Pohl
Voice Of The Whirlwind,Walter Jon Williams
A Voice For Princess,John Morressy
Virtual Light,William Gibson
Vergil In Averno,Avram Davidson
Venus Of Shadows,Pamela Sargent
Venus Of Dreams,Pamela Sargent
Venus Plus X,Theodore Sturgeon
Vanishing Point,Michaela Roessner
The Vampire Tapestry,Suzy Mckee Charnas
The Vampire Lestat,Anne Rice
Vampire Junction,SP Somtow
Valentine,SP Somtow
Vanitas,SP Somtow
Valentine Pontifex,Robert Silverberg
Vacuum Flowers,Michael Swanwick
Valis,Philip K Dick
"Lies, Inc.",Philip K Dick
Use Of Weapons,Iain M Banks
The Urth Of The New Sun,Gene Wolfe
The Uplift War,David Brin
Up The Walls Of The World,James Tiptree
Up The Line,Robert Silverberg
The Unreasoning Mask,Philip Jose Farmer
Unquenchable Fire,Rachel Pollack
The Unlimited Dream Company,JG Ballard
Unicorn Mountain,Michael Bishop
The Unicorn Girl,Michael Kurland
The Undesired Princess,L Sprague De Camp
Unassigned Territory,Kem Nunn
Ubik,Philip K Dick
A Maze Of Death,Philip K Dick
Counter-Clock World,Philip K Dick
Typewriter In The Sky,L Ron Hubbard
Two To Conquer,Marion Zimmer Bradley
The Two Faces Of Tomorrow,James P Hogan
Twisting The Rope,RA Macavoy
The Twilight Of Briareus,Richard Cowper
Twelve Fair Kingdoms,Suzette Haden Elgin
Tunnel In The Sky,Robert Heinlein
Tunnel Through The Deeps,Harry Harrison
Trumps Of Doom,Roger Zelazny
Trouble With Lichen,John Wyndham
The Triumph Of Time,James Blish
Triton,Samuel R Delany
Tripoint,CJ Cherryh
The Trinity Paradox,Kevin J Anderson
The Tricksters,Margaret Mahy
The Tree Of Swords And Jewels,CJ Cherryh
Treason,Orson Scott Card
The Transmigration Of Timothy Archer,Philip K Dick
Transformer,MA Foster
Transfigurations,Michael Bishop
Truckers,Terry Pratchett
Diggers,Terry Pratchett
The Bromeliad,Terry Pratchett
Wings,Terry Pratchett
The Carpet People,Terry Pratchett
The Dark Side Of The Sun,Terry Pratchett
Strata,Terry Pratchett
Towing Jehovah,James Morrow
Tower Of Glass,Robert Silverberg
Tours Of The Black Clock,Steve Erickson
Total Eclipse,John Brunner
Too Long A Sacrifice,Mildred Downey Broxon
Tonguing The Zeitgeist,Lance Olsen
The Tommyknockers,Stephen King
Tom O'Bedlam,Robert Silverberg
Today We Choose Faces,Roger Zelazny
To Your Scattered Bodies Go,Philip Jose Farmer
To Sail Beyond The Sunset,Robert Heinlein
To Reign In Hell,Steven Brust
To Green Angel Tower,Tad Williams
To Die In Italbar,Roger Zelazny
Titus Groan,Mervyn Peake
Gormenghast,Mervyn Peake
Titus Alone,Mervyn Peake
Titan,John Varley
The Timeservers,Russell M Griffin
Timescape,Gregory Benford
Times Without Number,John Brunner
Timelike Infinity,Stephen Baxter
Time Of The Fourth Horseman,Chelsea Quinn Yarbro
A Time Of Changes,Robert Silverberg
Time And Chance,Alan Brennert
First He Died,Clifford D Simak
Time Storm,Gordon R Dickson
"Immortality, Inc.",Robert Sheckley
Time Enough For Love,Robert Heinlein
Till We Have Faces,CS Lewis
Tik-Tok,John Sladek
Tigana,Guy Gavriel Kay
Tides Of Light,Gregory Benford
Through The Heart,Richard Grant
The Throat,Peter Straub
Thrice Upon A Time,James P Hogan
The Three Stigmata Of Palmer Eldritch,Philip K Dick
Now Wait For Last Year,Philip K Dick
Three Hearts And Three Lions,Poul Anderson
The Thread That Binds The Bones,Nina Kiriki Hoffman
Those Who Hunt The Night,Barbara Hambly
Thorns,Robert Silverberg
This Is The Way The World Ends,James Morrow
The Third Eagle,RA Macavoy
Things Invisible To See,Nancy Willard
The Thief Of Always,Clive Barker
The Forever Machine,Mark Clifton
They Shall Have Stars,James Blish
There Will Be Time,Poul Anderson
There Are Doors,Gene Wolfe
Thendara House,Marion Zimmer Bradley
Them Bones,Howard Waldrop
Brain Twister,Randall Garrett
That Hideous Strength,CS Lewis
Terrarium,Scott Russell Sanders
Ambient,Jack Womack
Terraplane,Jack Womack
Terminal Café,Ian Mcdonald
Tempting Fate,Chelsea Quinn Yarbro
Tempter,Nancy A Collins
Temporary Agency,Rachel Pollack
The Technicolor Time Machine,Harry Harrison
Tea With The Black Dragon,RA Macavoy
Tau Zero,Poul Anderson
Tatja Grimm's World,Vernor Vinge
Taran Wanderer,Lloyd Alexander
Taltos,Steven Brust
Taltos,Anne Rice
Talking Man,Terry Bisson
The Talisman,Stephen King
A Talent For War,Jack Mcdevitt
The Tale Of The Body Thief,Anne Rice
A Tale Of Two Clocks,James H Schmitz
Take Back Plenty,Colin Greenland
A Tale Of Time City,Diana Wynne Jones
Tactics Of Mistake,Gordon R Dickson
Systemic Shock,Dean Ing
Silent Thunder,Dean Ing
Synners,Pat Cadigan
The Syndic,CM Kornbluth
Sylva,Vercors
The Swordbearer,Glen Cook
The Sword Of The Lictor,Gene Wolfe
Sword Of The Demon,Richard A Lupoff
The Sword Of Winter,Marta Randall
The Sword Of Shannara,Terry Brooks
The Sword Of Rhiannon,Leigh Brackett
The Sword Of Aldones,Marion Zimmer Bradley
The Sword Is Forged,Evangeline Walton
The Sword In The Stone,TH White
Swan Song,Robert R Mccammon
Survivor,Octavia E Butler
The Survivors,Tom Godwin
Survey Ship,Marion Zimmer Bradley
Superluminal,Vonda N Mcintyre
Sundiver,David Brin
"The Sun, The Moon, And The Stars",Steven Brust
The Summoning,Bentley Little
The Ignored,Bentley Little
Summertide,Charles Sheffield
Divergence,Charles Sheffield
Transcendence,Charles Sheffield
Summer Of Night,Dan Simmons
Summer Of Love,Lisa Mason
The Summer Tree,Guy Gavriel Kay
The Summer Queen,Joan D Vinge
"Summer King, Winter Fool",Lisa Goldstein
The Suiting,Kelley Wilde
Sugar Rain,Paul Park
A Sudden Wild Magic,Diana Wynne Jones
Subterranean Gallery,Richard Paul Russo
The Stress Of Her Regard,Tim Powers
Strangers,Gardner Dozois
Strangers,Dean R Koontz
Stranger In A Strange Land,Robert Heinlein
Strange Toys,Patricia Geary
Strange Devices Of The Sun And Moon,Lisa Goldstein
The Story Of The Stone,Barry Hughart
A Storm Of Wings,M John Harrison
The Elfin Ship,James P Blaylock
The Disappearing Dwarf,James P Blaylock
The Digging Leviathan,James P Blaylock
The Stone Giant,James P Blaylock
The Stochastic Man,Robert Silverberg
Stinger,Robert R Mccammon
Still River,Hal Clement
The Steel Crocodile,DG Compton
Steel Beach,John Varley
Steam Bird,Hilbert Schenck
Stations Of The Tide,Michael Swanwick
Startide Rising,David Brin
Starship Troopers,Robert Heinlein
The Stars In Shroud,Gregory Benford
Stars In My Pocket Like Grains Of Sand,Samuel R Delany
"The Splendor And Misery Of Bodies, Of Cities",Samuel R Delany
The Stars Are Also Fire,Poul Anderson
The Stars My Destination,Alfred Bester
Tiger! Tiger!,Alfred Bester
The Currents Of Space,Isaac Asimov
"The Stars, Like Dust",Isaac Asimov
Starman Jones,Robert Heinlein
Stardance,Jeanne Robinson
Starseed,Jeanne Robinson
Stardance Ii,Jeanne Robinson
Starburst,Frederik Pohl
Star Of Gypsies,Robert Silverberg
Star Smashers Of The Galaxy Rangers,Harry Harrison
Star Rider,Doris Piserchia
The Deadly Sky,Doris Piserchia
A Billion Days Of Earth,Doris Piserchia
Earthchild,Doris Piserchia
Spaceling,Doris Piserchia
The Spinner,Doris Piserchia
The Fluger,Doris Piserchia
Doomtime,Doris Piserchia
Earth In Twilight,Doris Piserchia
The Dimensioneers,Doris Piserchia
"I, Zombie",Doris Piserchia
Star Rebel,FM Busby
Star Maker,Olaf Stapledon
Star Light,Hal Clement
The Star Kings,Edmond Hamilton
Return To The Stars,Edmond Hamilton
Stargate,Stephen Robinett
The Star Fox,Poul Anderson
The Stand,Stephen King
Stand On Zanzibar,John Brunner
The Stainless Steel Rat,Harry Harrison
The Stainless Steel Rat's Revenge,Harry Harrison
The Stainless Steel Rat Gets Drafted,Harry Harrison
The Stainless Steel Rat For President,Harry Harrison
The Squares Of The City,John Brunner
Split Infinity,Piers Anthony
The Spirit Ring,Lois Mcmaster Bujold
A Spell For Chameleon,Piers Anthony
Speaker For The Dead,Orson Scott Card
The Space Merchants,CM Kornbluth
Soul Eater,KW Jeter
Sorceress Of Darshiva,David Eddings
Seeress Of Kell,David Eddings
The Sorceress And The Cygnet,Patricia A Mckillip
Songs Of Distant Earth,Arthur C Clarke
Songs From The Stars,Norman Spinrad
Songmaster,Orson Scott Card
The Song Of Mavin Manyshaped,Sheri S Tepper
The Flight Of Mavin Manyshaped,Sheri S Tepper
The Search Of Mavin Manyshaped,Sheri S Tepper
Song Of Kali,Dan Simmons
A Song For Arbonne,Guy Gavriel Kay
Son Of Man,Robert Silverberg
Solis,AA Attanasio
Soldier Of The Mist,Gene Wolfe
Soldier Of Arete,Gene Wolfe
Solaris,Stanislaw Lem
Software,Rudy Rucker
"So Long, And Thanks For All The Fish",Douglas Adams
Snow White And Rose Red,Patricia C Wrede
The Snow Queen,Joan D Vinge
The Diamond Age,Neal Stephenson
Zodiac,Neal Stephenson
The Big U,Neal Stephenson
The Smoke Ring,Larry Niven
Small Gods,Terry Pratchett
Slow Funeral,Rebecca Ore
Sleeping In Flame,Jonathan Carroll
Slaves Of Sleep,L Ron Hubbard
Breakfast Of Champions,Kurt Vonnegut
Slaughterhouse-Five,Kurt Vonnegut
Slan,AE Van Vogt
The Skylark Of Space,Lee Hawkins Garby
Skylark Three,Edward E Smith
Skylark Of Valeron,Edward E Smith
Skylark Duquesne,Edward E Smith
Triplanetary,Edward E Smith
First Lensman,Edward E Smith
Galactic Patrol,Edward E Smith
Gray Lensman,Edward E Smith
Second Stage Lensmen,Edward E Smith
Children Of The Lens,Edward E Smith
The Vortex Blaster,Edward E Smith
"Sister Light, Sister Dark",Jane Yolen
The Sirens Of Titan,Kurt Vonnegut
Sinister Barrier,Eric Frank Russell
Sineater,Elizabeth Massie
Silverthorn,Raymond E Feist
Magician,Raymond E Feist
Silverlock,John Myers Myers
The Silver Eggheads,Fritz Leiber
The Silver Chair,CS Lewis
The Silmarillion,JRR Tolkien
Silk Roads And Shadows,Susan Shwartz
The Silicon Man,Charles Platt
The Silent Gondoliers,William Goldman
The Silence Of The Lambs,Thomas Harris
Silence In Solitude,Melissa Scott
Sign Of The Unicorn,Roger Zelazny
Sign Of Chaos,Roger Zelazny
Sight Of Proteus,Charles Sheffield
Proteus Unbound,Charles Sheffield
Proteus In The Underworld,Charles Sheffield
Sideshow,Sheri S Tepper
Big Planet,Jack Vance
Showboat World,Jack Vance
The Anome,Jack Vance
The Asutra,Jack Vance
The Shockwave Rider,John Brunner
The Ship That Sailed The Time Stream,GC Edmondson
The Shining,Stephen King
The Sheep Look Up,John Brunner
The Shattered Chain,Marion Zimmer Bradley
Sharra's Exile,Marion Zimmer Bradley
The Ruins Of Isis,Marion Zimmer Bradley
Shards Of Honor,Lois Mcmaster Bujold
Shadrach In The Furnace,Robert Silverberg
Shadow's End,Sheri S Tepper
Shadow On The Hearth,Judith Merril
The Shadow Of The Torturer,Gene Wolfe
Shadow Of A Dark Queen,Raymond E Feist
The Shadow Rising,Robert Jordan
Shadowland,Peter Straub
Seventh Son,Orson Scott Card
Servant Of The Empire,Raymond E Feist
Mistress Of The Empire,Raymond E Feist
Serpent's Reach,CJ Cherryh
The Serpent Mage,Greg Bear
A Sense Of Shadow,Kate Wilhelm
A Sense Of Obligation,Harry Harrison
The Secret Masters,Gerald Kersh
"Philip K. Dick Is Dead, Alas",Michael Bishop
The Second Trip,Robert Silverberg
Second Ending,James White
The Scream,John Skipp
Scissors Cut Paper Wrap Stone,Ian Mcdonald
The Schizogenic Man,Raymond Harris
Schismatrix,Bruce Sterling
A Scanner Darkly,Philip K Dick
Savage Season,Joe R Lansdale
Mucho Mojo,Joe R Lansdale
The Two-Bear Mambo,Joe R Lansdale
Saurus,Eden Phillpotts
The Satanic Verses,Salman Rushdie
The Sardonyx Net,Elizabeth A Lynn
Sarah Canary,Karen Joy Fowler
Saraband Of Lost Time,Richard Grant
Santiago,Mike Resnick
'salem's Lot,Stephen King
Saint Peter's Wolf,Michael Cadnum
Saint Camber,Katherine Kurtz
The Sailor On The Seas Of Fate,Michael Moorcock
Sacred Ground,Mercedes Lackey
The Sable Moon,Nancy Springer
Ss-Gb,Len Deighton
Russian Spring,Norman Spinrad
Rusalka,CJ Cherryh
Rumours Of Spring,Richard Grant
Roofworld,Christopher Fowler
Roma Mater,Karen Anderson
The Rolling Stones,Robert Heinlein
Rogue Moon,Algis Budrys
Rogue Dragon,Avram Davidson
Roderick Or The Education Of A Young Machine,John Sladek
Roderick At Random,John Sladek
The Robots Of Dawn,Isaac Asimov
Robots And Empire,Isaac Asimov
Roadside Picnic,Strugatsky Brothers
Roadmarks,Roger Zelazny
The Road To Corlay,Richard Cowper
Riverrun,SP Somtow
Rite Of Passage,Alexei Panshin
Ring,Stephen Baxter
Raft,Stephen Baxter
Ringworld,Larry Niven
The Ringworld Engineers,Larry Niven
Ring Of Swords,Eleanor Arnason
The Ring Of Ritornel,Charles L Harness
Rimrunners,CJ Cherryh
Riddley Walker,Russell Hoban
The Riddle-Master Of Hed,Patricia A Mckillip
Moon-Flash,Patricia A Mckillip
The Moon And The Face,Patricia A Mckillip
The House On Parchment Street,Patricia A Mckillip
Rhinegold,Stephan Grundy
The Revenge Of The Rose,Michael Moorcock
Revenant,Melanie Tem
The Revelation,Bentley Little
The Restaurant At The End Of The Universe,Douglas Adams
Replay,Ken Grimwood
The Renegades Of Pern,Anne Mccaffrey
Marathon,David Alexander Smith
Rendezvous,D Alexander Smith
Homecoming,D Alexander Smith
In The Cube,David Alexander Smith
Rendezvous With Rama,Arthur C Clarke
The Remaking Of Sigmund Freud,Barry N Malzberg
Relatives,George Alec Effinger
The Reindeer People,Megan Lindholm
Wolf's Brother,Megan Lindholm
Reign,Chet Williamson
Regan's Planet,Robert Silverberg
Redshift Rendezvous,John E Stith
Red Prophet,Orson Scott Card
Red Planet,Robert Heinlein
Red Moon And Black Mountain,Joy Chant
Red Mars,Kim Stanley Robinson
The Red Magician,Lisa Goldstein
Red Dust,Paul J Mcauley
Rebels' Seed,FM Busby
Reaper Man,Terry Pratchett
Rats And Gargoyles,Mary Gentle
Raphael,RA Macavoy
Random Acts Of Senseless Violence,Jack Womack
Rama Revealed,Arthur C Clarke
Raising The Stones,Sheri S Tepper
The Rainbow Abyss,Barbara Hambly
Ragtime,EL Doctorow
The Waterworks,EL Doctorow
The Ragged World,Judith Moffett
The Ragged Astronauts,Bob Shaw
Radix,AA Attanasio
Rim,Alexander Besher
R. U. R.,Karel Čapek?Karel Capekkarel Chapek
The Quorum,Kim Newman
The Quiet Pools,Michael P Kube-Mcdowell
The Quest For Saint Camber,Katherine Kurtz
Queens Walk In The Dusk,Thomas Burnett Swann
Queen's Gambit Declined,Melinda M Snodgrass
Queen Of The States,Josephine Saxton
The Queen Of The Damned,Anne Rice
Queen Of Angels,Greg Bear
The Puppet Masters,Robert Heinlein
The Proteus Operation,James P Hogan
Protector,Larry Niven
The Prometheus Man,Ray Nelson
Project Pope,Clifford D Simak
Prodigal,Melanie Tem
The Pritcher Mass,Gordon R Dickson
The Princess And The Goblin,George Macdonald
The Princess And Curdie,George Macdonald
Prince Of Annwn,Evangeline Walton
Prince Caspian,CS Lewis
The Priest,Thomas M Disch
The Pride Of Chanur,CJ Cherryh
Prentice Alvin,Orson Scott Card
Prelude To Foundation,Isaac Asimov
Forward The Foundation,Isaac Asimov
Powers That Be,Anne Mccaffrey
The Postman,David Brin
Portrait Of Jennie,Robert Nathan
Polar City Blues,Katharine Kerr
Poe Must Die,Marc Olden
Players At The Game Of People,John Brunner
The Player Of Games,Iain M Banks
A Planet Called Treason,Orson Scott Card
The Planet Buyer,Cordwainer Smith
The Underpeople,Cordwainer Smith
A Plague Of Pythons,Frederik Pohl
A Plague Of Demons,Keith Laumer
A Plague Of Angels,Sheri S Tepper
The Pirates Of Zan,Murray Leinster
Picnic On Paradise,Joanna Russ
Phthor,Piers Anthony
Photographing Fairies,Steve Szilagyi
Phoenix,Steven Brust
The Phoenix Guards,Steven Brust
Phases Of Gravity,Dan Simmons
Phantom,Thomas Tessier
The Pet,Charles L Grant
Pet Sematary,Stephen King
Personal Darkness,Tanith Lee
Permutation City,Greg Egan
Diaspora,Greg Egan
Perfume,Patrick Süskind?Patrick Sueskind
Perelandra,CS Lewis
Peregrine,Avram Davidson
Peregrine,Avram Davidson
The People Of The Wind,Poul Anderson
Pegasus In Flight,Anne Mccaffrey
